AUTHORID,NAME,NATIONALITY,BIRTHYEAR
1002,Philip Stewart,British,1961
1003,Melinda Hall,Australian,1964
1005,Jerry George,Indian,1950
1008,Andrea Kelly,Canadian,1946
1011,Melanie Castro,Australian,1943
1013,Justin Garcia,Canadian,1959
1014,Rebecca Brown MD,Australian,1964
1015,Rickey Nixon,Australian,1957
1017,Shannon Sanders,British,1960
1020,Karen Osborne,Indian,1941
1021,Justin Johnson,German,1964
1023,Jermaine Alvarado,German,1962
1024,Allison Foster,Australian,1940
1026,Brian Weiss,Canadian,1956
1032,Teresa Gilbert,Australian,1958
1033,Jennifer Perry,American,1969
1041,Chad Hill,German,1944
1043,Benjamin Larson,British,1969
1045,Andrew Rogers,Australian,1951
1047,Jamie Salas,American,1953
1051,Kelly Clark,American,1947
1052,Annette Chavez,American,1949
1053,Jeremy Eaton,German,1950
1054,Janice Brown,Canadian,1965
1055,Nicholas Fox,Australian,1950
1056,Stephanie Willis,Australian,1951
1057,Katherine Hopkins,Canadian,1947
1059,Jeffrey Soto,German,1948
1066,Dr. Donald Porter,Canadian,1942
1067,Sarah Brandt,German,1950
1068,Amy Rivera,German,1955
1072,Brandon Johnson MD,Canadian,1944
1074,Ashley Buckley,German,1965
1075,Tasha Colon,American,1956
1076,William Stanley,Australian,1950
1077,Jocelyn Saunders,Indian,1959
1078,Rachel Cohen,Indian,1953
1080,Mrs. Christie Scott,German,1957
1081,Beth Owens,Australian,1970
1084,Connor Decker,British,1944
1086,Devin Klein,Australian,1965
1089,Michael Myers,Australian,1960
1090,Melissa Conner,German,1940
1092,Joshua Carey,Australian,1964
1093,Earl Gross,British,1956
1001,Taylor Glover,German,1946
1004,Rebecca Ayala,British,1956
1006,Walter Murphy,American,1970
1007,Kristin Rhodes,German,1964
1009,Ashley Castillo,German,1956
1010,Sharon Hall,Canadian,1959
1012,Shelia James,German,1970
1016,Sarah Harris,Indian,1964
1018,Mark Oliver,Indian,1950
1019,Karen Crosby MD,American,1964
1022,Aaron Lewis,German,1957
1025,Melissa Barrera,British,1946
1027,Erica Vance,Canadian,1952
1028,Raven James,German,1942
1029,Julia Lee,American,1950
1030,Kevin Mcdonald,British,1963
1031,Chelsea Miller,Indian,1952
1034,Melissa Johnson,British,1950
1035,Pamela Carter,British,1958
1036,Jesse Nguyen,British,1964
1037,Heidi Floyd,German,1955
1038,Raymond Maldonado,Indian,1951
1039,Mike Roy,Australian,1951
1040,Lauren Green,Canadian,1955
1042,Jennifer Winters,Australian,1966
1044,Erin Edwards,Canadian,1959
1046,Aaron Walker,Indian,1968
1048,April Day,Canadian,1968
1049,Jessica Clark,German,1964
1050,Cristian Smith,German,1955
1058,Bradley Wallace,Australian,1946
1060,Daniel Fisher,German,1955
1061,Christopher Meyer,American,1965
1062,Allen Padilla,British,1956
1063,Susan Hale,Indian,1959
1064,Tara White,German,1962
1065,Amber Wright,German,1945
1069,William Diaz,German,1966
1070,Raymond Rivera,American,1957
1071,Kenneth Brock,British,1961
1073,John Perez,Australian,1963
1079,Judy Orozco,Australian,1959
1082,Mary Silva,Indian,1958
1083,Stacy Wagner,German,1967
1085,Karen Conner,Indian,1944
1087,David Stewart,American,1952
1088,Sharon Rose,German,1960
1091,Tiffany Henry,British,1962
1094,Virginia Smith,Australian,1963
1095,Robert Frank,British,1958
1096,Amber Cardenas,Australian,1961
1097,Lorraine Mcmillan,Australian,1959
1098,Dennis Guzman,American,1970
1099,Emily Palmer,Canadian,1949
1100,Aaron Soto,Australian,1957
