LOANID,MEMBERID,BOOKID,ISSUEDATE,RETURNDATE,STATUS,FINE
4001,3133,2151,29-03-2024,12-12-2024,Returned,216
4002,3279,2203,11-08-2023,17-10-2024,Returned,566
4003,3124,2269,28-08-2023,26-01-2025,Returned,734
4004,3724,2574,13-12-2023,15-12-2024,Returned,436
4005,3975,2457,13-09-2023,18-05-2025,Returned,926
4006,3089,2183,28-01-2024,14-10-2024,Returned,220
4007,3298,2026,19-12-2023,20-01-2025,Returned,496
4008,3548,2298,04-08-2022,15-03-2025,Returned,1608
4009,3949,2660,08-01-2023,28-05-2025,Returned,1442
4010,3883,2058,23-04-2024,,Issued,0
4011,3030,2461,17-03-2024,20-08-2024,Returned,12
4012,3623,2383,08-04-2023,11-09-2024,Returned,744
4013,3788,2541,06-08-2023,16-12-2024,Returned,696
4014,3038,2058,28-02-2023,30-06-2024,Returned,676
4015,3404,2436,30-11-2022,10-05-2025,Returned,1484
4016,3449,2334,24-03-2024,23-08-2024,Returned,4
4017,3724,2522,12-01-2024,25-10-2024,Returned,274
4018,3102,2343,17-04-2023,11-09-2024,Returned,726
4019,3334,2560,27-10-2022,19-03-2025,Returned,1448
4020,3076,2478,14-10-2022,,Issued,0
4021,3080,2263,16-04-2023,08-12-2024,Returned,904
4022,3789,2602,14-10-2022,25-09-2024,Returned,1124
4023,3553,2888,15-06-2023,08-05-2025,Returned,1086
4024,3100,2723,27-05-2024,29-11-2024,Returned,72
4025,3375,2063,10-04-2024,23-02-2025,Returned,338
4026,3955,2474,15-09-2023,07-12-2024,Returned,598
4027,3003,2775,27-09-2022,16-01-2025,Returned,1384
4028,3825,2102,29-06-2022,15-12-2024,Returned,1500
4029,3486,2279,27-10-2022,26-11-2024,Returned,1222
4030,3105,2593,26-05-2024,08-10-2024,Returned,0
4031,3625,2247,09-04-2023,11-06-2024,Returned,558
4032,3831,2044,08-04-2023,18-09-2024,Returned,758
4033,3827,2439,24-09-2023,15-07-2024,Returned,290
4034,3384,2688,02-06-2022,,Issued,0
4035,3401,2147,25-03-2023,28-10-2024,Returned,866
4036,3499,2206,29-05-2024,04-04-2025,Returned,320
4037,3299,2329,20-02-2024,05-11-2024,Returned,218
4038,3122,2369,20-06-2023,17-09-2024,Returned,610
4039,3587,2394,02-08-2022,21-05-2025,Returned,1746
4040,3314,2892,19-03-2023,07-05-2025,Returned,1260
4041,3659,2472,03-12-2023,07-08-2024,Returned,196
4042,3636,2312,27-07-2022,10-05-2025,Returned,1736
4043,3337,2084,06-09-2023,,Issued,0
4044,3346,2164,14-11-2022,23-10-2024,Returned,1118
4045,3038,2965,25-05-2024,13-03-2025,Returned,284
4046,3817,2320,13-01-2024,12-03-2025,Returned,548
4047,3267,2379,17-08-2022,,Issued,0
4048,3042,2362,06-11-2023,,Issued,0
4049,3893,2332,15-10-2022,07-09-2024,Returned,1086
4050,3402,2823,23-03-2023,03-01-2025,Returned,1004
4051,3278,2060,18-06-2022,10-09-2024,Returned,1330
4052,3751,2059,28-10-2022,05-10-2024,Returned,1116
4053,3427,2796,20-04-2024,13-04-2025,Returned,416
4054,3837,2418,26-04-2024,21-10-2024,Returned,56
4055,3824,2445,01-03-2024,30-06-2024,Returned,0
4056,3850,2647,07-04-2024,,Issued,0
4057,3444,2456,28-07-2022,,Issued,0
4058,3120,2301,25-06-2022,17-06-2024,Returned,1146
4059,3356,2117,23-10-2023,23-07-2024,Returned,248
4060,3698,2382,10-12-2023,22-02-2025,Returned,580
4061,3362,2264,14-02-2024,14-11-2024,Returned,248
4062,3133,2899,20-09-2022,29-09-2024,Returned,1180
4063,3437,2705,13-05-2024,24-03-2025,Returned,330
4064,3316,2036,26-12-2023,27-01-2025,Returned,496
4065,3674,2553,05-05-2024,25-09-2024,Returned,0
4066,3211,2143,04-03-2023,20-01-2025,Returned,1076
4067,3638,2993,31-10-2023,03-07-2024,Returned,192
4068,3942,2330,25-03-2023,03-04-2025,Returned,1180
4069,3233,2543,25-12-2022,18-01-2025,Returned,1210
4070,3073,2248,13-01-2023,,Issued,0
4071,3196,2912,05-02-2024,24-01-2025,Returned,408
4072,3486,2398,09-12-2023,03-05-2025,Returned,722
4073,3957,2033,29-09-2023,02-08-2024,Returned,316
4074,3225,2233,11-01-2023,08-03-2025,Returned,1274
4075,3717,2622,02-10-2023,18-12-2024,Returned,586
4076,3432,2063,10-07-2023,10-07-2024,Returned,432
4077,3754,2917,06-12-2022,16-05-2025,Returned,1484
4078,3972,2320,12-09-2023,13-10-2024,Returned,494
4079,3302,2304,19-07-2022,08-08-2024,Returned,1202
4080,3344,2441,04-08-2023,18-08-2024,Returned,460
4081,3230,2574,03-03-2023,01-01-2025,Returned,1040
4082,3570,2738,02-07-2022,01-07-2024,Returned,1160
4083,3939,2626,20-04-2024,23-11-2024,Returned,134
4084,3115,2589,01-11-2022,13-06-2024,Returned,880
4085,3886,2672,23-12-2022,12-08-2024,Returned,896
4086,3284,2243,11-10-2022,25-08-2024,Returned,1068
4087,3037,2018,06-01-2023,24-03-2025,Returned,1316
4088,3849,2466,14-01-2023,27-10-2024,Returned,1004
4089,3219,2010,28-12-2022,,Issued,0
4090,3573,2070,04-02-2023,,Issued,0
4091,3709,2208,27-03-2024,06-05-2025,Returned,510
4092,3711,2650,05-03-2023,20-08-2024,Returned,768
4093,3043,2582,10-06-2022,19-11-2024,Returned,1486
4094,3881,2184,08-10-2022,,Issued,0
4095,3981,2251,17-09-2023,19-10-2024,Returned,496
4096,3202,2621,27-04-2023,16-07-2024,Returned,592
4097,3143,2870,14-09-2022,19-11-2024,Returned,1294
4098,3973,2332,11-10-2022,25-04-2025,Returned,1554
4099,3636,2088,25-03-2023,03-10-2024,Returned,816
4100,3223,2464,05-01-2023,01-03-2025,Returned,1272
4101,3616,2100,27-11-2023,27-03-2025,Returned,672
4102,3561,2818,11-06-2022,06-04-2025,Returned,1760
4103,3546,2880,03-07-2023,01-07-2024,Returned,428
4104,3647,2963,15-02-2023,01-04-2025,Returned,1252
4105,3016,2903,11-01-2023,08-08-2024,Returned,850
4106,3125,2583,03-04-2023,20-03-2025,Returned,1134
4107,3908,2927,14-12-2023,10-02-2025,Returned,548
4108,3076,2378,22-08-2023,28-10-2024,Returned,566
4109,3328,2272,07-09-2023,28-05-2025,Returned,958
4110,3228,2535,21-03-2024,25-03-2025,Returned,438
4111,3890,2020,22-08-2023,25-09-2024,Returned,500
4112,3429,2428,25-04-2023,12-09-2024,Returned,712
4113,3069,2464,05-06-2023,04-04-2025,Returned,1038
4114,3064,2450,23-08-2022,03-08-2024,Returned,1122
4115,3795,2426,22-07-2022,18-04-2025,Returned,1702
4116,3159,2477,11-06-2023,21-05-2025,Returned,1120
4117,3833,2543,05-02-2024,21-05-2025,Returned,642
4118,3251,2578,15-06-2022,25-09-2024,Returned,1366
4119,3501,2178,16-10-2023,03-09-2024,Returned,346
4120,3955,2515,09-03-2023,22-03-2025,Returned,1188
4121,3194,2535,27-09-2022,03-04-2025,Returned,1538
4122,3315,2623,06-10-2022,30-10-2024,Returned,1210
4123,3104,2478,05-10-2023,06-12-2024,Returned,556
4124,3295,2571,31-07-2023,27-09-2024,Returned,548
4125,3379,2280,17-02-2024,24-11-2024,Returned,262
4126,3763,2315,20-04-2023,29-12-2024,Returned,938
4127,3331,2425,31-03-2024,,Issued,0
4128,3219,2338,30-03-2023,25-06-2024,Returned,606
4129,3032,2173,28-08-2023,03-06-2024,Returned,260
4130,3165,2047,24-06-2023,05-09-2024,Returned,578
4131,3046,2114,05-11-2023,02-06-2024,Returned,120
4132,3886,2526,21-06-2022,26-07-2024,Returned,1232
4133,3735,2854,11-08-2022,,Issued,0
4134,3215,2102,30-04-2024,10-02-2025,Returned,272
4135,3455,2574,25-05-2023,,Issued,0
4136,3541,2767,20-05-2024,,Issued,0
4137,3341,2590,07-12-2022,04-11-2024,Returned,1096
4138,3873,2139,05-09-2023,03-11-2024,Returned,550
4139,3686,2543,21-11-2022,15-11-2024,Returned,1150
4140,3078,2231,09-10-2023,30-06-2024,Returned,230
4141,3542,2978,22-07-2022,24-01-2025,Returned,1534
4142,3331,2831,21-07-2023,27-09-2024,Returned,568
4143,3103,2994,23-06-2022,14-03-2025,Returned,1690
4144,3743,2864,18-08-2023,18-12-2024,Returned,676
4145,3422,2878,04-09-2023,12-02-2025,Returned,754
4146,3118,2270,29-10-2023,26-05-2025,Returned,850
4147,3630,2316,30-03-2023,23-04-2025,Returned,1210
4148,3212,2013,13-11-2022,11-02-2025,Returned,1342
4149,3827,2879,05-01-2024,26-02-2025,Returned,536
4150,3620,2764,16-06-2023,,Issued,0
4151,3873,2609,08-10-2022,24-12-2024,Returned,1316
4152,3787,2501,28-08-2022,,Issued,0
4153,3712,2578,17-02-2023,12-11-2024,Returned,968
